,Unnamed: 0,Area,Year,Item,Unit,Value,emissionperKGProduct,productionKG,totalCO2
31839,31839,Afghanistan,2015,Chicken,tonnes,24559.0,6.1,24559000.0,149809900.0
31899,31899,Albania,2015,Chicken,tonnes,12905.0,6.1,12905000.0,78720500.0
31959,31959,Algeria,2015,Chicken,tonnes,258696.0,6.1,258696000.0,1578045600.0
32019,32019,Angola,2015,Chicken,tonnes,39529.0,6.1,39529000.0,241126900.0
32079,32079,Antigua and Barbuda,2015,Chicken,tonnes,39.0,6.1,39000.0,237900.0
32139,32139,Argentina,2015,Chicken,tonnes,2093000.0,6.1,2093000000.0,12767300000.0
32168,32168,Armenia,2015,Chicken,tonnes,9500.0,6.1,9500000.0,57950000.0
32228,32228,Australia,2015,Chicken,tonnes,1115543.0,6.1,1115543000.0,6804812300.0
32288,32288,Austria,2015,Chicken,tonnes,116600.0,6.1,116600000.0,711260000.0
32317,32317,Azerbaijan,2015,Chicken,tonnes,97211.0,6.1,97211000.0,592987100.0
32377,32377,Bahamas,2015,Chicken,tonnes,6550.0,6.1,6550000.0,39955000.0
32437,32437,Bahrain,2015,Chicken,tonnes,19095.0,6.1,19095000.0,116479500.0
32497,32497,Bangladesh,2015,Chicken,tonnes,185500.0,6.1,185500000.0,1131550000.0
32557,32557,Barbados,2015,Chicken,tonnes,16134.0,6.1,16134000.0,98417400.0
32586,32586,Belarus,2015,Chicken,tonnes,442000.0,6.1,442000000.0,2696200000.0
32607,32607,Belgium,2015,Chicken,tonnes,444954.0,6.1,444954000.0,2714219400.0
32706,32706,Belize,2015,Chicken,tonnes,18495.0,6.1,18495000.0,112819500.0
32766,32766,Benin,2015,Chicken,tonnes,13245.0,6.1,13245000.0,80794500.0
32826,32826,Bhutan,2015,Chicken,tonnes,1063.0,6.1,1063000.0,6484300.0
32886,32886,Bolivia (Plurinational State of),2015,Chicken,tonnes,504214.0,6.1,504214000.0,3075705400.0
32915,32915,Bosnia and Herzegovina,2015,Chicken,tonnes,48704.0,6.1,48704000.0,297094400.0
32975,32975,Botswana,2015,Chicken,tonnes,3200.0,6.1,3200000.0,19520000.0
33035,33035,Brazil,2015,Chicken,tonnes,13149202.0,6.1,13149202000.0,80210132200.0
33095,33095,Brunei Darussalam,2015,Chicken,tonnes,23491.0,6.1,23491000.0,143295100.0
33155,33155,Bulgaria,2015,Chicken,tonnes,85032.0,6.1,85032000.0,518695200.0
33215,33215,Burkina Faso,2015,Chicken,tonnes,51483.0,6.1,51483000.0,314046300.0
33275,33275,Burundi,2015,Chicken,tonnes,6390.0,6.1,6390000.0,38979000.0
33335,33335,Cabo Verde,2015,Chicken,tonnes,980.0,6.1,980000.0,5978000.0
33395,33395,Cambodia,2015,Chicken,tonnes,16794.0,6.1,16794000.0,102443400.0
33455,33455,Cameroon,2015,Chicken,tonnes,77492.0,6.1,77492000.0,472701200.0
33515,33515,Canada,2015,Chicken,tonnes,1137070.0,6.1,1137070000.0,6936127000.0
33575,33575,Central African Republic,2015,Chicken,tonnes,5919.0,6.1,5919000.0,36105900.0
33635,33635,Chad,2015,Chicken,tonnes,6121.0,6.1,6121000.0,37338100.0
33695,33695,Chile,2015,Chicken,tonnes,607182.0,6.1,607182000.0,3703810200.0
33755,33755,China,2015,Chicken,tonnes,12636845.0,6.1,12636845000.0,77084754500.0
33815,33815,"China, Hong Kong SAR",2015,Chicken,tonnes,25348.0,6.1,25348000.0,154622800.0
33875,33875,"China, Macao SAR",2015,Chicken,tonnes,3424.0,6.1,3424000.0,20886400.0
33935,33935,"China, mainland",2015,Chicken,tonnes,12075000.0,6.1,12075000000.0,73657500000.0
